AdultAge,Workclass,Education,Martial_Status,Relationship,Race,Sex,Continent,Target
>50 and <=60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, HS-grad, Never-married, Unmarried, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Divorced, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Not-in-family, White, Male,North America, >50K
>30 and <=40, Private, Masters, Never-married, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Divorced, Own-child, Black, Female,North America, <=50K
>25 and <=30, Private, Some-college, Never-married, Not-in-family, Asian-Pac-Islander, Male,North America, <=50K
>50 and <=60, Self-emp-not-inc, Doctorate, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Self-emp-not-inc, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, 10th, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Never-married, Not-in-family, Black, Female,North America, <=50K
>40 and <=50, Private, Bachelors, Divorced, Unmarried, White, Female,North America, <=50K
>25 and <=30, State-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Self-emp-not-inc, 7th-8th, Widowed, Unmarried, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Local-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Separated, Own-child, White, Female,North America, <=50K
>40 and <=50, State-gov, Prof-school, Divorced, Unmarried, Black, Male,North America, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Local-gov, 11th, Never-married, Own-child, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Wife, White, Female,North America, >50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, >50K
<=25, Private, HS-grad, Married-civ-spouse, Other-relative, White, Male,North America, <=50K
>40 and <=50, Private, 5th-6th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Married-civ-spouse, Wife, White, Female,North America, <=50K
>40 and <=50, Private, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Never-married, Not-in-family, Black, Male,North America, >50K
>30 and <=40, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, Black, Male,North America, >50K
>25 and <=30, Local-gov, HS-grad, Never-married, Other-relative, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Married-civ-spouse, Husband, White, Male,Antarctica, >50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Female,North America, <=50K
>25 and <=30, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, Black, Female,North America, <=50K
>30 and <=40, Local-gov, HS-grad, Married-civ-spouse, Other-relative, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Private, Bachelors, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Some-college, Never-married, Unmarried, Black, Female,North America, <=50K
>50 and <=60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Married-civ-spouse, Wife, White, Female,North America, >50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, Black, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>70 and <=80,Never-worked, Assoc-voc, Widowed, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Masters, Separated, Not-in-family, White, Male,North America, >50K
<=25, Private, HS-grad, Separated, Unmarried, Black, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Federal-gov, Bachelors, Never-married, Other-relative, Asian-Pac-Islander, Female,North America, <=50K
>60 and <=70,Never-worked, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Federal-gov, Bachelors, Widowed, Unmarried, White, Female,North America, >50K
<=25, Private, HS-grad, Separated, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Bachelors, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, State-gov, Some-college, Divorced, Not-in-family, Black, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, 11th, Never-married, Own-child, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, Prof-school, Married-civ-spouse, Wife, White, Female,North America, <=50K
>60 and <=70, Private, 12th, Married-civ-spouse, Husband, White, Male,Europe, <=50K
>25 and <=30,Never-worked, HS-grad, Separated, Unmarried, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Unmarried, White, Female,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40,Never-worked, Bachelors, Married-civ-spouse, Wife, White, Female,North America, <=50K
>25 and <=30, State-gov, Some-college, Never-married, Unmarried, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Local-gov, HS-grad, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Local-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-acdm, Never-married, Unmarried, Black, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Masters, Divorced, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, Other, Male,Antarctica, >50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Masters, Divorced, Unmarried, White, Male,North America, <=50K
>50 and <=60, Local-gov, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Self-emp-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, Assoc-acdm, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>50 and <=60, Self-emp-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, 10th, Never-married, Not-in-family, Black, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Masters, Never-married, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Federal-gov, Assoc-acdm, Never-married, Not-in-family, Black, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Doctorate, Never-married, Not-in-family, White, Male,North America, >50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, >50K
>70 and <=80, Private, 7th-8th, Widowed, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Bachelors, Married-spouse-absent, Not-in-family, White, Female,Antarctica, <=50K
>40 and <=50, Private, 5th-6th, Never-married, Unmarried, White, Female,North America, <=50K
>50 and <=60, Federal-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, 9th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, 11th, Never-married, Unmarried, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70,Never-worked, Doctorate, Widowed, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, Bachelors, Never-married, Unmarried, White, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Wife, White, Female,North America, >50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>60 and <=70,Never-worked, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Other-relative, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70,Never-worked, HS-grad, Separated, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Other-relative, Asian-Pac-Islander, Male,Asia, <=50K
>40 and <=50, Federal-gov, Bachelors, Divorced, Not-in-family, White, Male,North America, >50K
>50 and <=60, Self-emp-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, State-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, 12th, Married-civ-spouse, Husband, Black, Male,Antarctica, >50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,North America, <=50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Self-emp-inc, Some-college, Never-married, Not-in-family, White, Male,North America, <=50K
>50 and <=60, State-gov, Bachelors, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,Asia, <=50K
<=25, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, HS-grad, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, Assoc-acdm, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>50 and <=60, Local-gov, Masters, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Separated, Unmarried, White, Male,North America, <=50K
>25 and <=30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Widowed, Unmarried, Asian-Pac-Islander, Female,Asia, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, Other, Male,North America, <=50K
<=25, Private, Bachelors, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Unmarried, White, Male,North America, <=50K
>40 and <=50, Private, Prof-school, Divorced, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Wife, White, Female,North America, >50K
<=25, Private, HS-grad, Never-married, Own-child, Amer-Indian-Eskimo, Male,North America, <=50K
>60 and <=70, Self-emp-not-inc, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Bachelors, Never-married, Own-child, White, Female,North America, >50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Divorced, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Unmarried, White, Male,North America, <=50K
>30 and <=40,Never-worked, Some-college, Married-civ-spouse, Wife, White, Female,North America, <=50K
>30 and <=40, Private, Bachelors, Never-married, Other-relative, White, Male,North America, <=50K
>40 and <=50, Local-gov, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, <=50K
<=25, Private, 9th, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, Black, Male,North America, <=50K
>25 and <=30, Private, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, State-gov, HS-grad, Separated, Not-in-family, White, Female,North America, <=50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>70 and <=80, Private, HS-grad, Widowed, Not-in-family, White, Female,North America, <=50K
>30 and <=40,Never-worked, HS-grad, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Separated, Unmarried, Amer-Indian-Eskimo, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>60 and <=70, Self-emp-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Federal-gov, Assoc-voc, Divorced, Unmarried, Black, Female,North America, >50K
>30 and <=40, Private, Some-college, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, Bachelors, Never-married, Not-in-family, Asian-Pac-Islander, Female,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Other-relative, White, Female,North America, <=50K
>60 and <=70,Never-worked, Some-college, Married-spouse-absent, Not-in-family, White, Male,North America, <=50K
>25 and <=30, State-gov, Masters, Never-married, Not-in-family, White, Male,North America, <=50K
<=25, State-gov, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, State-gov, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, 10th, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,Asia, <=50K
>30 and <=40, Private, Some-college, Never-married, Not-in-family, Black, Male,North America, <=50K
>60 and <=70,Never-worked, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, Prof-school, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,Asia, >50K
>40 and <=50, Private, HS-grad, Married-spouse-absent, Not-in-family, White, Male,Europe, <=50K
>40 and <=50, Private, Assoc-acdm, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, State-gov, Masters, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Self-emp-not-inc, Bachelors, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, State-gov, Bachelors, Divorced, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>25 and <=30, Private, Bachelors, Married-civ-spouse, Wife, White, Female,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Private, Some-college, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, Assoc-voc, Never-married, Not-in-family, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Divorced, Unmarried, Black, Female,North America, <=50K
<=25, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, Preschool, Married-civ-spouse, Husband, White, Male,Antarctica, <=50K
>50 and <=60, Private, 11th, Divorced, Not-in-family, Black, Female,North America, <=50K
>50 and <=60, Private, 10th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, HS-grad, Never-married, Not-in-family, White, Female,North America, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25,Never-worked, 11th, Never-married, Other-relative, White, Male,North America, <=50K
>50 and <=60, Local-gov, Some-college, Divorced, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25,Never-worked, 11th, Never-married, Own-child, White, Female,North America, <=50K
>50 and <=60, Private, 11th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Local-gov, Masters, Divorced, Unmarried, White, Female,North America, <=50K
>50 and <=60, Private, HS-grad, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Self-emp-inc, Bachelors, Married-civ-spouse, Wife, Asian-Pac-Islander, Female,Asia, <=50K
<=25, Private, Bachelors, Never-married, Not-in-family, White, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>30 and <=40, State-gov, Masters, Divorced, Not-in-family, White, Female,North America, <=50K
>50 and <=60, Private, 7th-8th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Masters, Married-civ-spouse, Wife, White, Female,North America, >50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>60 and <=70,Never-worked, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, State-gov, HS-grad, Divorced, Unmarried, Black, Female,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>60 and <=70,Never-worked, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40,Never-worked, 9th, Divorced, Not-in-family, White, Female,North America, <=50K
<=25, Private, 10th, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, Some-college, Divorced, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Never-married, Other-relative, Black, Female,North America, <=50K
<=25, Private, Some-college, Never-married, Own-child, White, Female,North America, <=50K
>30 and <=40, Private, Assoc-voc, Divorced, Unmarried, White, Female,North America, <=50K
>30 and <=40, Private, Some-college, Divorced, Not-in-family, Amer-Indian-Eskimo, Male,North America, <=50K
>60 and <=70, State-gov, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Self-emp-inc, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Federal-gov, Some-college, Divorced, Unmarried, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Wife, White, Female,North America, >50K
