Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-4,c-24,c-7,WN,AUS,MAF,>200 and <=300,N
c-4,c-1,c-6,AS,SEA,LAS,>700 and <=1000,N
c-11,c-21,c-1,XE,DTW,EWR,>400 and <=500,Y
c-10,c-7,c-6,CO,IAH,ABQ,>700 and <=1000,N
c-1,c-27,c-4,NW,MCO,DTW,>700 and <=1000,N
c-7,c-30,c-6,WN,PHX,ABQ,>300 and <=400,N
c-10,c-13,c-4,AA,DFW,PHL,>1000 and <=1500,Y
c-7,c-25,c-1,OH,STL,CVG,>300 and <=400,N
c-7,c-14,c-4,HP,LAX,PHX,>300 and <=400,N
c-8,c-8,c-2,CO,EWR,LAS,>1500,N
c-8,c-4,c-5,MQ,DFW,GSP,>700 and <=1000,N
c-12,c-11,c-1,UA,CLE,ORD,>300 and <=400,N
c-10,c-29,c-7,MQ,DSM,DFW,>600 and <=700,N
c-4,c-5,c-2,XE,MSP,EWR,>1000 and <=1500,N
c-7,c-15,c-6,UA,DEN,BOS,>1500,N
c-12,c-19,c-2,AS,SEA,GEG,>200 and <=300,Y
c-11,c-11,c-6,AS,ANC,FAI,>200 and <=300,Y
c-10,c-28,c-5,UA,LAX,PHL,>1500,N
c-7,c-29,c-5,AA,DCA,ORD,>600 and <=700,Y
c-8,c-17,c-4,XE,AVL,IAH,>700 and <=1000,N
c-6,c-11,c-6,AA,DFW,PIT,>1000 and <=1500,N
c-7,c-31,c-7,AA,ORD,RNO,>1500,N
c-11,c-18,c-6,CO,TPA,IAH,>700 and <=1000,N
c-4,c-20,c-3,WN,MDW,CLE,>300 and <=400,Y
c-12,c-17,c-7,WN,SNA,PHX,>300 and <=400,N
c-11,c-18,c-6,WN,AUS,ELP,>500 and <=600,N
c-5,c-24,c-2,XE,ORF,EWR,>200 and <=300,N
c-10,c-31,c-1,HP,PHL,PHX,>1500,N
c-3,c-5,c-7,OO,SFO,FAT,<=200,Y
c-9,c-16,c-6,AS,SJC,SEA,>600 and <=700,N
c-6,c-26,c-7,DL,ATL,FLL,>500 and <=600,N
c-2,c-24,c-4,DL,ATL,CAE,<=200,Y
c-10,c-25,c-3,OH,CVG,CRW,<=200,N
c-7,c-21,c-5,AA,TPA,ORD,>1000 and <=1500,N
c-5,c-10,c-3,FL,CLT,ATL,>200 and <=300,N
c-1,c-1,c-7,MQ,TVC,MQT,<=200,Y
c-12,c-17,c-6,HP,DCA,PHX,>1500,N
c-4,c-2,c-6,UA,ORD,HNL,>1500,N
c-12,c-4,c-7,OO,OAK,LAX,>300 and <=400,N
c-8,c-12,c-6,FL,PHL,ATL,>600 and <=700,Y
c-11,c-4,c-5,CO,PHX,EWR,>1500,N
c-10,c-13,c-4,US,ATL,PHL,>600 and <=700,N
c-12,c-24,c-7,AA,RDU,DFW,>1000 and <=1500,N
c-2,c-2,c-3,MQ,ORD,CMH,>200 and <=300,N
c-5,c-22,c-1,UA,PHX,SFO,>600 and <=700,Y
c-1,c-8,c-7,US,SAV,CLT,>200 and <=300,N
c-6,c-11,c-6,DL,BHM,ATL,<=200,N
c-12,c-20,c-3,US,TPA,DCA,>700 and <=1000,N
c-8,c-8,c-1,OH,LGA,GSO,>400 and <=500,N
c-9,c-19,c-2,F9,LAS,DEN,>600 and <=700,N
c-2,c-13,c-7,TZ,DEN,MDW,>700 and <=1000,N
c-7,c-14,c-5,FL,ATL,SEA,>1500,Y
c-6,c-3,c-5,MQ,MDT,ORD,>500 and <=600,Y
c-6,c-4,c-6,UA,SAN,ORD,>1500,N
c-11,c-5,c-7,DL,DEN,ATL,>1000 and <=1500,N
c-4,c-22,c-6,MQ,ORD,DAY,>200 and <=300,Y
c-11,c-10,c-5,WN,CRP,HOU,<=200,N
c-8,c-10,c-4,NW,GRR,DTW,<=200,N
c-8,c-25,c-4,OO,BUR,SFO,>300 and <=400,N
c-5,c-19,c-4,AS,SFO,SEA,>600 and <=700,Y
c-7,c-10,c-7,MQ,ORD,PIT,>400 and <=500,Y
c-9,c-28,c-4,YV,TUS,PHX,<=200,N
c-9,c-16,c-5,CO,LGA,IAH,>1000 and <=1500,N
c-1,c-13,c-4,US,PHL,LAS,>1500,N
c-5,c-27,c-6,EV,PIA,ATL,>500 and <=600,N
c-3,c-10,c-5,YV,COS,PHX,>500 and <=600,N
c-11,c-11,c-5,WN,GEG,BOI,>200 and <=300,N
c-6,c-19,c-1,AA,MCO,MIA,<=200,N
c-12,c-30,c-6,MQ,ORD,LIT,>500 and <=600,Y
c-12,c-10,c-7,DL,ATL,MSY,>400 and <=500,N
c-6,c-8,c-3,FL,MCO,BWI,>700 and <=1000,N
c-9,c-27,c-2,AA,ORD,AUS,>700 and <=1000,N
c-6,c-11,c-6,XE,LGA,CLE,>400 and <=500,N
c-9,c-25,c-1,WN,SDF,BWI,>400 and <=500,N
c-5,c-8,c-7,OO,EUG,SFO,>400 and <=500,Y
c-10,c-29,c-7,WN,PDX,PHX,>1000 and <=1500,N
c-9,c-4,c-7,HP,PHX,SEA,>1000 and <=1500,N
c-9,c-1,c-5,WN,ISP,MDW,>700 and <=1000,N
c-7,c-19,c-2,UA,AUS,DEN,>700 and <=1000,N
c-4,c-14,c-5,WN,MCO,PHL,>700 and <=1000,N
c-7,c-4,c-2,FL,MCO,ATL,>400 and <=500,N
c-4,c-28,c-4,UA,LAX,DEN,>700 and <=1000,N
c-10,c-6,c-5,US,LGA,BOS,<=200,N
c-4,c-28,c-5,WN,LAS,MCI,>1000 and <=1500,Y
c-3,c-2,c-3,DH,IAD,BNA,>500 and <=600,Y
c-6,c-25,c-7,WN,SEA,OAK,>600 and <=700,N
c-8,c-3,c-3,US,MCO,CLT,>400 and <=500,Y
c-2,c-7,c-1,XE,CLT,EWR,>500 and <=600,N
c-7,c-1,c-6,OO,SFO,MRY,<=200,Y
c-6,c-29,c-3,NW,DTW,PHX,>1500,N
c-8,c-17,c-4,F9,DEN,STL,>700 and <=1000,N
c-1,c-21,c-5,WN,PHX,PDX,>1000 and <=1500,Y
c-5,c-31,c-2,DL,ALB,ATL,>700 and <=1000,N
c-6,c-18,c-7,US,SJU,PHL,>1500,N
c-11,c-28,c-2,FL,ATL,ROC,>700 and <=1000,N
c-11,c-17,c-4,AA,MIA,DFW,>1000 and <=1500,N
c-8,c-26,c-6,DL,LAS,SLC,>300 and <=400,N
c-11,c-5,c-7,WN,MDW,PHX,>1000 and <=1500,N
c-11,c-9,c-4,WN,MHT,LAS,>1500,N
c-11,c-6,c-1,CO,RSW,CLE,>1000 and <=1500,N
c-4,c-15,c-5,DL,JFK,ATL,>700 and <=1000,N
c-10,c-3,c-2,AA,DFW,DTW,>700 and <=1000,N
c-5,c-18,c-3,UA,DEN,MSY,>1000 and <=1500,Y
c-5,c-13,c-5,WN,RDU,TPA,>500 and <=600,Y
c-11,c-29,c-3,WN,RNO,PDX,>400 and <=500,N
c-9,c-27,c-3,WN,MDW,SAN,>1500,Y
c-5,c-16,c-1,XE,ELP,IAH,>600 and <=700,N
c-12,c-8,c-4,XE,ALB,EWR,<=200,N
c-1,c-30,c-1,UA,ORD,DTW,>200 and <=300,Y
c-11,c-4,c-5,WN,OKC,PHX,>700 and <=1000,Y
c-2,c-23,c-3,DL,ATL,DCA,>500 and <=600,N
c-4,c-20,c-4,UA,SLC,ORD,>1000 and <=1500,N
c-2,c-22,c-2,OO,MBS,ORD,>200 and <=300,Y
c-7,c-14,c-4,AA,AUS,DFW,<=200,N
c-11,c-21,c-2,MQ,MAF,DFW,>300 and <=400,N
c-11,c-2,c-3,XE,EWR,BHM,>700 and <=1000,N
c-7,c-6,c-3,WN,LAS,MHT,>1500,Y
c-12,c-3,c-7,OO,DFW,SLC,>700 and <=1000,N
c-8,c-9,c-2,FL,ATL,DEN,>1000 and <=1500,N
c-5,c-23,c-1,MQ,ORD,CHA,>500 and <=600,Y
c-7,c-25,c-1,DH,EWR,IAD,>200 and <=300,Y
c-6,c-28,c-2,AA,DFW,MIA,>1000 and <=1500,Y
c-9,c-21,c-3,AA,DFW,MEM,>400 and <=500,Y
c-10,c-20,c-5,WN,OKC,DAL,<=200,N
c-4,c-10,c-7,MQ,DFW,BUF,>1000 and <=1500,Y
c-10,c-15,c-6,MQ,ORD,CLE,>300 and <=400,N
c-5,c-26,c-4,OO,BUR,SFO,>300 and <=400,N
c-7,c-3,c-1,YV,LAS,OAK,>400 and <=500,N
c-4,c-15,c-6,WN,BNA,HOU,>600 and <=700,N
c-4,c-12,c-3,UA,BTV,ORD,>700 and <=1000,Y
c-12,c-20,c-3,WN,MDW,BNA,>300 and <=400,N
c-12,c-18,c-7,CO,EWR,MCO,>700 and <=1000,N
c-2,c-25,c-5,XE,SHV,IAH,<=200,N
c-11,c-25,c-6,WN,MSY,TPA,>400 and <=500,N
c-11,c-29,c-2,DL,DTW,ATL,>500 and <=600,N
c-1,c-11,c-3,XE,IAH,PHX,>1000 and <=1500,N
c-12,c-20,c-2,DH,TPA,IAD,>700 and <=1000,N
c-9,c-25,c-1,UA,DFW,ORD,>700 and <=1000,N
c-2,c-8,c-3,CO,MCO,IAH,>700 and <=1000,N
c-9,c-12,c-1,US,CLT,BHM,>300 and <=400,N
c-1,c-27,c-5,FL,EWR,ATL,>700 and <=1000,N
c-6,c-6,c-1,UA,ORD,SFO,>1500,Y
c-7,c-10,c-7,WN,SMF,SEA,>600 and <=700,Y
c-9,c-17,c-7,WN,DAL,SAT,>200 and <=300,Y
c-5,c-11,c-4,AA,SJU,MIA,>1000 and <=1500,N
c-11,c-8,c-2,CO,MCO,EWR,>700 and <=1000,N
c-3,c-19,c-6,AA,PSP,ORD,>1500,N
c-8,c-16,c-3,WN,BHM,JAX,>300 and <=400,N
c-3,c-26,c-7,EV,ATL,MCN,<=200,N
c-3,c-19,c-7,WN,SLC,OAK,>500 and <=600,Y
c-9,c-13,c-2,OO,COS,SLC,>400 and <=500,N
c-11,c-22,c-2,CO,EWR,SNA,>1500,N
c-12,c-7,c-4,AA,ABQ,DFW,>500 and <=600,N
c-7,c-30,c-7,EV,CAE,ATL,<=200,N
c-2,c-8,c-3,NW,GRR,DTW,<=200,N
c-4,c-4,c-1,MQ,CLE,LGA,>400 and <=500,N
c-8,c-31,c-3,WN,PHX,OAK,>600 and <=700,N
c-11,c-15,c-3,US,DFW,CLT,>700 and <=1000,Y
c-6,c-9,c-4,AA,DFW,LAX,>1000 and <=1500,N
c-10,c-21,c-6,AA,PHX,ORD,>1000 and <=1500,N
c-8,c-8,c-2,WN,MDW,FLL,>1000 and <=1500,N
c-1,c-19,c-4,US,RSW,PHL,>700 and <=1000,N
c-3,c-19,c-6,AA,MIA,ORD,>1000 and <=1500,N
c-6,c-7,c-3,WN,LAS,RNO,>300 and <=400,N
c-2,c-22,c-2,WN,MSY,LAX,>1500,N
c-5,c-22,c-1,TZ,DFW,MDW,>700 and <=1000,N
c-12,c-6,c-2,NW,BOS,DTW,>600 and <=700,N
c-2,c-10,c-5,US,LGA,DCA,>200 and <=300,N
c-10,c-3,c-2,FL,DCA,ATL,>500 and <=600,N
c-3,c-5,c-6,OO,COS,DEN,<=200,N
c-4,c-28,c-4,WN,ONT,LAS,<=200,N
c-3,c-16,c-4,NW,MCO,MSP,>1000 and <=1500,Y
c-10,c-11,c-3,AA,SJU,ORD,>1500,N
c-11,c-28,c-2,OO,PIT,ORD,>400 and <=500,Y
c-1,c-30,c-7,OO,LAX,CLD,<=200,N
c-3,c-4,c-5,AA,ORD,PHX,>1000 and <=1500,N
c-12,c-5,c-2,OO,SLC,SAN,>600 and <=700,N
c-9,c-28,c-4,NW,MHT,DTW,>600 and <=700,N
c-12,c-4,c-1,UA,LIH,SFO,>1500,N
c-4,c-12,c-2,WN,SNA,SMF,>400 and <=500,Y
c-8,c-27,c-7,MQ,FSM,DFW,>200 and <=300,Y
c-12,c-22,c-4,HA,OGG,HNL,<=200,N
c-6,c-30,c-5,XE,CLT,CLE,>400 and <=500,N
c-9,c-26,c-2,XE,CLE,ORD,>300 and <=400,N
c-1,c-29,c-7,YV,IAD,PWM,>400 and <=500,N
c-4,c-23,c-7,US,LAS,ONT,<=200,Y
c-6,c-3,c-6,US,DTW,PHX,>1500,N
c-3,c-1,c-2,OO,SMX,LAX,<=200,N
c-8,c-1,c-2,YV,PHX,SAT,>700 and <=1000,N
c-7,c-7,c-4,HA,OGG,HNL,<=200,N
c-6,c-26,c-7,AS,SEA,LAX,>700 and <=1000,N
c-12,c-2,c-5,XE,IAH,MAF,>400 and <=500,N
c-3,c-28,c-1,WN,ORF,JAX,>500 and <=600,Y
c-8,c-11,c-4,XE,IAH,LEX,>700 and <=1000,N
c-5,c-22,c-7,AA,DFW,CLT,>700 and <=1000,N
c-1,c-21,c-6,YV,LGB,PHX,>300 and <=400,N
c-10,c-25,c-2,F9,DEN,SFO,>700 and <=1000,N
c-5,c-13,c-5,UA,PDX,ORD,>1500,N
c-12,c-28,c-4,XE,EWR,BTV,>200 and <=300,N
c-3,c-5,c-7,UA,SFO,HNL,>1500,Y
c-3,c-4,c-5,CO,IAH,LAX,>1000 and <=1500,N
c-2,c-5,c-7,MQ,SYR,ORD,>600 and <=700,N
c-9,c-15,c-4,NW,MSP,LGA,>1000 and <=1500,Y
c-6,c-18,c-7,US,PHL,CLT,>400 and <=500,N
c-7,c-3,c-1,OH,JFK,RDU,>400 and <=500,N
c-8,c-12,c-6,AA,LGA,BNA,>700 and <=1000,N
c-7,c-2,c-7,WN,SJC,RNO,<=200,N
c-5,c-8,c-1,AS,SEA,SJC,>600 and <=700,Y
c-6,c-5,c-7,XE,CLE,BOS,>500 and <=600,N
c-12,c-14,c-4,XE,MCI,IAH,>600 and <=700,Y
c-7,c-12,c-3,YV,RNO,PHX,>600 and <=700,N
c-7,c-2,c-6,DL,ATL,SAN,>1500,N
c-9,c-8,c-5,MQ,ORD,DBQ,<=200,Y
c-11,c-20,c-7,UA,SFO,SAN,>400 and <=500,N
c-11,c-9,c-3,WN,SMF,LAX,>300 and <=400,N
c-7,c-2,c-6,XE,BTR,IAH,>200 and <=300,N
c-2,c-12,c-6,OH,CVG,CHS,>400 and <=500,N
c-1,c-27,c-4,NW,MEM,XNA,>200 and <=300,N
c-8,c-20,c-7,UA,DEN,ORD,>700 and <=1000,Y
c-2,c-25,c-5,WN,SLC,LAS,>300 and <=400,N
c-9,c-19,c-2,MQ,ORD,MSN,<=200,Y
c-7,c-9,c-7,UA,LAX,SFO,>300 and <=400,N
c-2,c-19,c-6,AA,STL,DFW,>500 and <=600,N
c-9,c-26,c-2,YV,TUS,PHX,<=200,N
c-4,c-1,c-6,US,ONT,LAS,<=200,N
c-8,c-12,c-5,AA,ORD,BWI,>600 and <=700,Y
c-10,c-7,c-5,WN,SAT,DAL,>200 and <=300,N
c-11,c-15,c-3,WN,OAK,LAS,>400 and <=500,N
c-2,c-20,c-1,US,CLT,PHL,>400 and <=500,N
c-11,c-24,c-5,AA,ORD,MCO,>1000 and <=1500,N
c-11,c-7,c-2,YV,ORD,CAK,>300 and <=400,Y
c-10,c-16,c-1,OO,AUS,ORD,>700 and <=1000,N
c-2,c-24,c-4,DL,EWR,SLC,>1500,N
c-3,c-5,c-6,AS,ANC,FAI,>200 and <=300,N
c-2,c-13,c-1,FL,ATL,TPA,>400 and <=500,N
c-1,c-19,c-4,OH,CVG,IAH,>700 and <=1000,N
c-6,c-1,c-4,AS,RNO,SEA,>500 and <=600,N
c-5,c-1,c-7,WN,HOU,JAN,>300 and <=400,N
c-3,c-19,c-6,CO,RDU,IAH,>1000 and <=1500,N
c-7,c-13,c-3,UA,ORD,PDX,>1500,N
c-1,c-11,c-3,NW,MSP,RSW,>1000 and <=1500,N
c-10,c-31,c-2,F9,DEN,IAH,>700 and <=1000,N
c-5,c-26,c-4,CO,FLL,CLE,>1000 and <=1500,N
c-9,c-6,c-3,WN,MHT,BWI,>300 and <=400,N
c-2,c-21,c-1,DL,PNS,ATL,>200 and <=300,Y
c-3,c-26,c-7,B6,TPA,BOS,>1000 and <=1500,N
c-10,c-14,c-5,UA,CMH,DEN,>1000 and <=1500,N
c-8,c-5,c-5,UA,PDX,SFO,>500 and <=600,N
c-1,c-11,c-3,OH,CVG,ROC,>400 and <=500,N
c-10,c-10,c-2,CO,IAH,ONT,>1000 and <=1500,N
c-6,c-9,c-5,B6,BTV,JFK,>200 and <=300,N
c-3,c-17,c-4,AA,PIT,DFW,>1000 and <=1500,N
c-5,c-13,c-6,OH,GSO,BOS,>600 and <=700,N
c-4,c-20,c-3,NW,LGA,DTW,>500 and <=600,Y
c-5,c-14,c-7,OO,LAX,IYK,<=200,N
c-8,c-8,c-1,AS,SEA,SJC,>600 and <=700,N
c-10,c-25,c-3,HA,HNL,LIH,<=200,N
c-9,c-18,c-7,OO,ORD,BTV,>700 and <=1000,Y
c-8,c-2,c-2,XE,CHS,IAH,>700 and <=1000,N
c-12,c-11,c-1,EV,ATL,CRW,>300 and <=400,Y
c-1,c-5,c-3,WN,HOU,LAS,>1000 and <=1500,N
c-7,c-30,c-6,AS,SMF,SEA,>600 and <=700,N
c-11,c-30,c-4,NW,SFO,DTW,>1500,N
c-5,c-13,c-5,OO,SLC,MSO,>400 and <=500,N
c-4,c-15,c-6,OO,SFO,BUR,>300 and <=400,Y
c-8,c-7,c-1,OO,XNA,DEN,>600 and <=700,N
c-10,c-29,c-7,OO,LAN,ORD,<=200,N
c-2,c-24,c-4,WN,BHM,BWI,>600 and <=700,Y
c-11,c-20,c-7,WN,MDW,OMA,>400 and <=500,N
c-12,c-31,c-7,WN,SAT,DAL,>200 and <=300,N
c-11,c-19,c-7,YV,HNL,ITO,>200 and <=300,N
c-5,c-3,c-2,OO,ORD,MBS,>200 and <=300,N
c-11,c-19,c-7,EV,ATL,PFN,>200 and <=300,N
c-8,c-26,c-6,US,SJC,PHX,>600 and <=700,N
c-4,c-11,c-1,HP,PHX,SFO,>600 and <=700,Y
c-11,c-25,c-5,MQ,DFW,LRD,>300 and <=400,N
c-2,c-14,c-1,FL,TPA,PHL,>700 and <=1000,N
c-10,c-20,c-4,MQ,BGR,LGA,>300 and <=400,N
c-1,c-16,c-7,AS,BUR,SEA,>700 and <=1000,N
c-1,c-28,c-5,FL,DFW,LAS,>1000 and <=1500,N
c-7,c-9,c-6,UA,PHL,ORD,>600 and <=700,N
c-10,c-13,c-4,NW,DTW,CMH,<=200,N
c-8,c-20,c-7,US,ORD,CLT,>500 and <=600,N
c-12,c-11,c-1,EV,PWM,ATL,>1000 and <=1500,N
c-10,c-19,c-4,AA,TPA,DFW,>700 and <=1000,N
c-2,c-16,c-3,AA,LAX,JFK,>1500,N
c-7,c-3,c-1,WN,RNO,LAS,>300 and <=400,N
c-9,c-16,c-5,WN,FLL,TPA,<=200,Y
c-7,c-24,c-1,WN,DAL,LBB,>200 and <=300,Y
c-8,c-28,c-7,EV,GTR,ATL,>200 and <=300,N
c-2,c-21,c-1,OO,AUS,ORD,>700 and <=1000,Y
c-10,c-21,c-6,UA,DEN,PIT,>1000 and <=1500,N
c-6,c-26,c-7,OO,SBA,DEN,>700 and <=1000,N
c-6,c-5,c-7,TZ,DFW,MDW,>700 and <=1000,N
c-12,c-26,c-1,MQ,LGA,CMH,>400 and <=500,N
c-8,c-7,c-1,WN,DAL,ABQ,>500 and <=600,N
c-7,c-19,c-2,NW,MSP,PIT,>700 and <=1000,N
c-9,c-11,c-7,UA,SNA,ORD,>1500,N
c-4,c-23,c-6,UA,DEN,RNO,>700 and <=1000,N
c-5,c-25,c-3,CO,IAH,LAS,>1000 and <=1500,N
c-8,c-21,c-1,OO,SFO,ACV,>200 and <=300,Y
c-9,c-3,c-7,OH,PIT,JFK,>300 and <=400,Y
c-4,c-14,c-5,MQ,CLL,DFW,<=200,N
c-10,c-1,c-7,WN,BOI,OAK,>500 and <=600,N
c-3,c-16,c-3,WN,PHL,BDL,<=200,N
c-12,c-15,c-5,OH,MCO,CHS,>300 and <=400,Y
c-11,c-1,c-2,FL,ATL,MEM,>300 and <=400,N
c-3,c-12,c-7,YV,RDU,CLT,<=200,Y
c-5,c-26,c-4,F9,DCA,DEN,>1000 and <=1500,N
c-8,c-22,c-2,WN,BNA,RDU,>400 and <=500,N
c-10,c-1,c-7,OO,FAR,ORD,>500 and <=600,N
c-1,c-25,c-3,YV,CLT,IAH,>700 and <=1000,Y
c-3,c-28,c-1,AS,JNU,YAK,<=200,N
c-5,c-18,c-4,NW,MSP,BOS,>1000 and <=1500,N
c-5,c-17,c-2,US,CLT,JAX,>300 and <=400,N
c-3,c-14,c-2,AA,DFW,TUL,>200 and <=300,N
c-8,c-5,c-6,OH,PVD,CVG,>700 and <=1000,N
c-3,c-15,c-2,CO,HNL,LAX,>1500,N
c-11,c-3,c-5,MQ,DFW,LAW,<=200,Y
c-2,c-7,c-1,AA,ORD,HPN,>700 and <=1000,N
c-5,c-16,c-1,US,PIT,CLT,>300 and <=400,N
c-1,c-17,c-1,OO,PSC,SEA,<=200,N
c-3,c-20,c-7,DH,PBI,IAD,>700 and <=1000,Y
c-9,c-28,c-3,UA,BWI,DEN,>1000 and <=1500,N
c-2,c-21,c-1,AA,LAX,LAS,>200 and <=300,N
c-4,c-11,c-1,MQ,LGA,RDU,>400 and <=500,N
c-11,c-22,c-2,AA,IAH,ORD,>700 and <=1000,N
c-4,c-21,c-4,OO,SLC,GJT,>200 and <=300,Y
c-10,c-27,c-5,AS,SAN,SEA,>1000 and <=1500,N
c-1,c-13,c-4,DH,GSP,TPA,>400 and <=500,Y
c-10,c-27,c-4,AA,ORD,EWR,>700 and <=1000,N
c-2,c-19,c-7,CO,SNA,IAH,>1000 and <=1500,N
c-10,c-4,c-3,XE,CLE,PVD,>500 and <=600,Y
c-8,c-31,c-4,AS,SNA,SEA,>700 and <=1000,N
c-10,c-29,c-6,WN,AUS,HOU,<=200,N
c-4,c-6,c-4,CO,MIA,IAH,>700 and <=1000,N
c-6,c-28,c-3,YV,DEN,COS,<=200,N
c-8,c-10,c-3,DL,ATL,LGA,>700 and <=1000,Y
c-7,c-6,c-3,OH,CVG,BOS,>700 and <=1000,N
c-4,c-23,c-7,OO,SLC,GEG,>500 and <=600,N
c-4,c-26,c-2,AA,MIA,PHL,>1000 and <=1500,N
c-1,c-18,c-2,WN,HOU,MDW,>700 and <=1000,N
c-8,c-14,c-7,EV,MYR,ATL,>300 and <=400,N
c-5,c-29,c-1,EV,CHO,ATL,>400 and <=500,N
c-7,c-1,c-5,HP,DEN,PHX,>600 and <=700,N
c-1,c-3,c-2,XE,IAH,CLT,>700 and <=1000,Y
c-3,c-2,c-3,US,PHL,LAX,>1500,Y
c-10,c-31,c-2,B6,BOS,RIC,>400 and <=500,N
c-9,c-23,c-5,OH,CVG,SRQ,>700 and <=1000,N
c-10,c-18,c-2,CO,IAH,MSP,>1000 and <=1500,N
c-6,c-18,c-6,UA,DFW,ORD,>700 and <=1000,N
c-6,c-20,c-1,OO,CVG,ORD,>200 and <=300,N
c-6,c-16,c-4,NW,FLL,DTW,>1000 and <=1500,N
c-10,c-19,c-4,OO,DEN,BZN,>500 and <=600,N
c-12,c-15,c-4,OO,DEN,BUR,>700 and <=1000,Y
c-9,c-14,c-3,NW,MSN,DTW,>300 and <=400,N
c-4,c-4,c-1,OO,PSP,DEN,>700 and <=1000,N
c-9,c-24,c-7,OO,BZN,DEN,>500 and <=600,Y
c-10,c-5,c-4,WN,STL,PHX,>1000 and <=1500,Y
c-3,c-16,c-3,HP,SAN,PHX,>300 and <=400,Y
c-5,c-8,c-7,WN,SAN,ELP,>600 and <=700,N
c-6,c-10,c-5,US,CLT,BWI,>300 and <=400,N
c-4,c-11,c-1,UA,MCO,IAD,>700 and <=1000,N
c-7,c-27,c-4,UA,SEA,SFO,>600 and <=700,N
c-11,c-12,c-7,AA,ORD,LAS,>1500,Y
c-8,c-14,c-7,EV,BNA,ATL,>200 and <=300,N
